ano,turno,sigla_uf,sigla_uf_nome,id_municipio,id_municipio_nome,id_municipio_tse,id_municipio_tse_nome,zona,secao,tipo_secao_agregada,numero,nome,tipo,endereco,bairro,cep,telefone,latitude,longitude,situacao,situacao_zona,situacao_secao,situacao_localidade,situacao_secao_acessibilidade,eleitores_secao
2016,1,MG,Minas Gerais,3170206,Uberlândia,54038,Uberlândia,278,514,1,1546,ESCOLA MUNICIPAL DOMINGAS CAMIM,1,RUA DO COMERCIO S/ N,DISTRITO DE MIRAPORANGA,38408337,,,,1,1,1,1,0,292
2016,1,MG,Minas Gerais,3170206,Uberlândia,54038,Uberlândia,299,345,2,1287,ESCOLA MUNICIPAL MARTINÉSIA,1,"AV. CENTRAL, S/N",DISTRITO DE MARTINÉSIA,38414000,,,,1,1,1,1,0,40
2016,1,MG,Minas Gerais,3170206,Uberlândia,54038,Uberlândia,299,168,1,1287,ESCOLA MUNICIPAL MARTINÉSIA,1,"AV. CENTRAL, S/N",DISTRITO DE MARTINÉSIA,38414000,,,,1,1,1,1,0,380
2016,1,MG,Minas Gerais,3170206,Uberlândia,54038,Uberlândia,299,167,1,1287,ESCOLA MUNICIPAL MARTINÉSIA,1,"AV. CENTRAL, S/N",DISTRITO DE MARTINÉSIA,38414000,,,,1,1,1,1,1,198
2016,1,MG,Minas Gerais,3170206,Uberlândia,54038,Uberlândia,335,172,1,1163,ESCOLA  MUNICIPAL ALFABETIZAÇÃO GUARDA ANTÔNIO R. NASCIMENTO,1,"RUA DAS VIOLAS , 45",DONA ZULMIRA,38415114,,,,1,1,1,1,0,392
2016,1,MG,Minas Gerais,3170206,Uberlândia,54038,Uberlândia,335,173,1,1163,ESCOLA  MUNICIPAL ALFABETIZAÇÃO GUARDA ANTÔNIO R. NASCIMENTO,1,"RUA DAS VIOLAS , 45",DONA ZULMIRA,38415114,,,,1,1,1,1,0,390
2016,1,MG,Minas Gerais,3170206,Uberlândia,54038,Uberlândia,335,167,1,1163,ESCOLA  MUNICIPAL ALFABETIZAÇÃO GUARDA ANTÔNIO R. NASCIMENTO,1,"RUA DAS VIOLAS , 45",DONA ZULMIRA,38415114,,,,1,1,1,1,1,257
2016,1,MG,Minas Gerais,3170206,Uberlândia,54038,Uberlândia,335,168,1,1163,ESCOLA  MUNICIPAL ALFABETIZAÇÃO GUARDA ANTÔNIO R. NASCIMENTO,1,"RUA DAS VIOLAS , 45",DONA ZULMIRA,38415114,,,,1,1,1,1,0,396
2016,1,MG,Minas Gerais,3170206,Uberlândia,54038,Uberlândia,335,171,1,1163,ESCOLA  MUNICIPAL ALFABETIZAÇÃO GUARDA ANTÔNIO R. NASCIMENTO,1,"RUA DAS VIOLAS , 45",DONA ZULMIRA,38415114,,,,1,1,1,1,0,395
2016,1,MG,Minas Gerais,3170206,Uberlândia,54038,Uberlândia,335,169,1,1163,ESCOLA  MUNICIPAL ALFABETIZAÇÃO GUARDA ANTÔNIO R. NASCIMENTO,1,"RUA DAS VIOLAS , 45",DONA ZULMIRA,38415114,,,,1,1,1,1,0,390
2016,1,MG,Minas Gerais,3170206,Uberlândia,54038,Uberlândia,335,170,1,1163,ESCOLA  MUNICIPAL ALFABETIZAÇÃO GUARDA ANTÔNIO R. NASCIMENTO,1,"RUA DAS VIOLAS , 45",DONA ZULMIRA,38415114,,,,1,1,1,1,0,388
2016,1,MG,Minas Gerais,3170206,Uberlândia,54038,Uberlândia,299,163,1,1244,ESCOLA MUNICIPAL CRUZEIRO DOS PEIXOTOS,1,"RUA DA EDUCAÇÃO, 146",DISTRITO CRUZEIRO DOS PEIXOTOS,38416000,,,,1,1,1,1,0,345
2016,1,MG,Minas Gerais,3170206,Uberlândia,54038,Uberlândia,299,337,2,1244,ESCOLA MUNICIPAL CRUZEIRO DOS PEIXOTOS,1,"RUA DA EDUCAÇÃO, 146",DISTRITO CRUZEIRO DOS PEIXOTOS,38416000,,,,1,1,1,1,0,88
2016,1,MG,Minas Gerais,3170206,Uberlândia,54038,Uberlândia,299,162,1,1244,ESCOLA MUNICIPAL CRUZEIRO DOS PEIXOTOS,1,"RUA DA EDUCAÇÃO, 146",DISTRITO CRUZEIRO DOS PEIXOTOS,38416000,,,,1,1,1,1,1,215
